ident,data_originator,adet,farkli_koordinat,tablolar,isimler
IDVO,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IDW,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
IEB,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IEBG,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IECR,KKTC SHD,3,2,"ils_loc,ils_gp,ils_dme",
IEKT,KKTC SHD,3,2,"ils_loc,ils_gp,ils_dme",
IELG,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IELZ,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IEN,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IERZ,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IES,EUROCONTROL NMOC,3,3,"ils_loc,ils_gp,ils_dme",
IESB,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IESK,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IEV,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IEV,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IEZR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IFA,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IFB,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IFL,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
IFV,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IFZ,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
IFZ,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IGA,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IGC,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IGE,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IGL,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IGML,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IGN,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IGN,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IGNP,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IGO,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IGR,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IGSA,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IGY,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IHA,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,3,"ils_loc,ils_gp,ils_dme",
IHD,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IHH,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IHR,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,3,"ils_loc,ils_gp,ils_dme",
IHU,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IHW,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IHZ,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IIM,KAZAERONAVIGATSIA RSE,3,3,"ils_loc,ils_gp,ils_dme",
IIMR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IIO,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,3,"ils_loc,ils_gp,ils_dme",
IIS,ROMATSA - ROMANIAN AIR TRAFFIC SERVICES ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
IIST,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IJR,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IJS,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IKA,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IKA,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IKAR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IKAS,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IKF,EUROCONTROL NMOC,3,2,"ils_loc,ils_gp,ils_dme",
IKFK,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IKFZ,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IKH,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IKHA,JORDAN CIVIL AVIATION REGULATORY COMMISSION,3,2,"ils_loc,ils_gp,ils_dme",
IKI,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,3,"ils_loc,ils_gp,ils_dme",
IKL,KYRGYZAERONAVIGATSIA (KYRGYZ REPUBLIC ANSP),3,2,"ils_loc,ils_gp,ils_dme",
IKLC,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IKN,EUROCONTROL NMOC,3,2,"ils_loc,ils_gp,ils_dme",
IKNY,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IKR,AIRNAV IRELAND,3,3,"ils_loc,ils_gp,ils_dme",
IKSR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IKT,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IKV,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,3,"ils_loc,ils_gp,ils_dme",
IKW,EUROCONTROL NMOC,3,2,"ils_loc,ils_gp,ils_dme",
IKW,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IKZ,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ILC,CYPRUS DEPARTMENT OF CIVIL AVIATION,3,2,"ils_loc,ils_gp,ils_dme",
ILD,MOLDAVIAN AIR TRAFFIC SERVICE PROVIDER (MOLDATSA),3,2,"ils_loc,ils_gp,ils_dme",
ILE,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ILE,SKEYES,3,2,"ils_loc,ils_gp,ils_dme",
ILG,NAV CANADA,3,2,"ils_loc,ils_gp,ils_dme",
ILG,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
ILGD,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
ILL,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ILM,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
ILM,EUROCONTROL NMOC,3,2,"vortac,dme","ILAM,WILMINGTON"
ILM,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ILO,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ILO,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,2,"ils_loc,ils_gp,ils_dme",
ILP,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ILRA,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ILV,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,2,"ils_loc,ils_gp,ils_dme",
ILW,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
ILW,SKEYES,3,2,"ils_loc,ils_gp,ils_dme",
IMA,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IMA,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IMB,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IMCT,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IMEN,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IMG,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IMG,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IMH,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IMI,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IMJ,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IMK,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IML,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IML,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IMLY,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IMN,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IMN,KYRGYZAERONAVIGATSIA (KYRGYZ REPUBLIC ANSP),3,2,"ils_loc,ils_gp,ils_dme",
IMO,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IMP,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IMR,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IMRD,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IMRF,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IMRI,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IMT,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,2,"ils_loc,ils_gp,ils_dme",
IMUS,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
INA,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
INDL,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
INDR,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
INL,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
INO,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
INOR,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
INR,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
INT,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
INV,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IOA,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IOD,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,2,"ils_loc,ils_gp,ils_dme",
IOE,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,2,"ils_loc,ils_gp,ils_dme",
IOGR,DHMI TURKIYE,3,3,"ils_loc,ils_gp,ils_dme",
IOH,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IOS,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IOT,KAZAERONAVIGATSIA RSE,3,3,"ils_loc,ils_gp,ils_dme",
IOU,KYRGYZAERONAVIGATSIA (KYRGYZ REPUBLIC ANSP),3,2,"ils_loc,ils_gp,ils_dme",
IOW,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IPA,CYPRUS DEPARTMENT OF CIVIL AVIATION,3,2,"ils_loc,ils_gp,ils_dme",
IPAL,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IPN,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IPR,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IPT,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IPW,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IQA,JORDAN CIVIL AVIATION REGULATORY COMMISSION,3,2,"ils_loc,ils_gp,ils_dme",
IQAN,JORDAN CIVIL AVIATION REGULATORY COMMISSION,3,2,"ils_loc,ils_gp,ils_dme",
IQAR,JORDAN CIVIL AVIATION REGULATORY COMMISSION,3,2,"ils_loc,ils_gp,ils_dme",
IQG,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IQH,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IQL,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IQR,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IQX,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IRAT,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IRB,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IRD,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IRF,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IRG,KAZAERONAVIGATSIA RSE,3,3,"ils_loc,ils_gp,ils_dme",
IRG,MOLDAVIAN AIR TRAFFIC SERVICE PROVIDER (MOLDATSA),3,2,"ils_loc,ils_gp,ils_dme",
IRM,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IRM,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IRR,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
IRR,ROMATSA - ROMANIAN AIR TRAFFIC SERVICES ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
IRS,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ISAB,DHMI TURKIYE,3,3,"ils_loc,ils_gp,ils_dme",
ISAN,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISBH,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISDP,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISE,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
ISE,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ISF,BULATSA-BULGARIAN AIR TRAFFIC SERVICES AUTHORITY,3,2,"ils_loc,ils_gp,ils_dme",
ISGB,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISGN,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISI,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ISJ,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ISK,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ISL,BULATSA-BULGARIAN AIR TRAFFIC SERVICES AUTHORITY,3,2,"ils_loc,ils_gp,ils_dme",
ISNK,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISO,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ISO,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
ISP,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ISR,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ISR,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
ISUR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISUR,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ISV,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ISV,ROMATSA - ROMANIAN AIR TRAFFIC SERVICES ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
ISVS,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ISW,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
ITA,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ITBZ,DHMI TURKIYE,3,3,"ils_loc,ils_gp,ils_dme",
ITF,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
ITJA,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ITK,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ITKA,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
ITL,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ITL,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
ITM,KYRGYZAERONAVIGATSIA (KYRGYZ REPUBLIC ANSP),3,2,"ils_loc,ils_gp,ils_dme",
ITO,NAV CANADA,3,2,"ils_loc,ils_gp,ils_dme",
ITR,AIR NAVIGATION SERVICES OF ALBANIA,3,3,"ils_loc,ils_gp,ils_dme",
ITR,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ITS,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
ITU,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ITY,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
ITZ,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
ITZK,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IUCA,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IUCB,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IUCC,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IUCD,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IUCE,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IUCF,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IUL,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IUR,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IUS,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IVC,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IVD,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IVL,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IVR,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IWD,AIRNAV IRELAND,3,3,"ils_loc,ils_gp,ils_dme",
IWI,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IWK,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IWN,BULATSA-BULGARIAN AIR TRAFFIC SERVICES AUTHORITY,3,3,"ils_loc,ils_gp,ils_dme",
IWP,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IXC,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IXS,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IXT,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IXY,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IYC,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IYE,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IYEN,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IYL,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IYQ,NAV CANADA,3,3,"ils_loc,ils_gp,ils_dme",
IZCA,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IZFE,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IZFR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IZG,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IZIR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IZK,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IZN,AZERBAIJAN STATE CIVIL AVIATION ADMINISTRATION,3,2,"ils_loc,ils_gp,ils_dme",
IZP,UKRAINIAN STATE AIR TRAFFIC SERVICES ENTERPRISE,3,2,"ils_loc,ils_gp,ils_dme",
IZZA,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
JAC,EUROCONTROL NMOC,3,2,"vor_dme,dme","JACKSON,JACAREACANGA"
JBI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,2,"ils_loc,ils_gp,ils_dme",
JBL,EUROCONTROL NMOC,3,2,"vor_dme,dme","JUBAIL,BALKANABAT"
JDG,EUROCONTROL NMOC,3,2,"vor_dme,dme","JEDONG (JEJU),JIAODONG"
JDW,EUROCONTROL NMOC,3,2,"vortac,dme","JEDDAH / KING ABDULAZIZ INTERNATIONAL,JIAOBEI"
KAM,EUROCONTROL NMOC,3,2,"vortac,dme","KHAMIS MUSHAIT / KING KHALED AIR BASE,KAMISHLY"
KAT,EUROCONTROL NMOC,3,2,"vor_dme,dme","KATSINA,KATUNAYAKE"
KE,EUROCONTROL NMOC,3,3,dme,"KEMI-TORNIO,KEDROVY,KOSICE"
KEE,HUNGAROCONTROL,3,2,"ils_loc,ils_gp,ils_dme",
KEW,HUNGAROCONTROL,3,2,"ils_loc,ils_gp,ils_dme",
KFR,EUROCONTROL NMOC,3,2,"vor_dme,dme","KUFRA,WAFRA"
KIS,EUROCONTROL NMOC,3,2,"vor_dme,dme","KISH ISLAND,KISHI"
KMC,EUROCONTROL NMOC,3,2,"vortac,tacan","KING SAUD AIR BASE,KOMATSU"
KNA,EUROCONTROL NMOC,3,2,"vor_dme,dme","KENANA,KAUNAS"
KOS,EUROCONTROL NMOC,3,2,"vor_dme,dme","KOS,SIHANOUK"
KSI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,2,"ils_loc,ils_gp,ils_dme",
KTM,EUROCONTROL NMOC,3,2,"vor_dme,dme","KHARTOUM,KATHMANDU"
KTN,EUROCONTROL NMOC,3,2,"vor_dme,dme","PALMYRA,CHITA"
KWL,EUROCONTROL NMOC,3,2,"vor_dme,dme","GUILIN,KIRKWALL"
LAI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,3,"ils_loc,ils_gp,ils_dme",
LAR,EUROCONTROL NMOC,3,2,"vor_dme,dme","LA RIOJA,LAR"
LCO,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
LIB,EUROCONTROL NMOC,3,2,"vortac,dme","LIBERIA,LIBERTY"
LKN,EUROCONTROL NMOC,3,2,"vor_dme,dme","LUCKNOW,LESHUKONSKOE"
LLC,EUROCONTROL NMOC,3,2,"vortac,dme","LAOLIANGCANG,LOVELOCK"
LM,MALTA ATS,3,3,"ils_loc,ils_gp,ils_dme",
LOA,EUROCONTROL NMOC,3,2,"vortac,dme","CALAMA,LEONA"
LQ,MALTA ATS,3,3,"ils_loc,ils_gp,ils_dme",
LTO,EUROCONTROL NMOC,3,2,"vor_dme,dme","LORETO,NOUMEA LA TONTOUTA"
MAA,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
MAH,EUROCONTROL NMOC,3,2,"vor_dme,dme","MAISACH,BANDAR MAHSHAHR"
MAO,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
MAR,EUROCONTROL NMOC,3,3,"vor_dme,dme","MARACAIBO,MARIE,MARIBOR"
MAV,EUROCONTROL NMOC,3,2,"vor_dme,dme","MANDERA,MAUN"
MBB,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
MCT,EUROCONTROL NMOC,3,2,"vor_dme,dme","MANCHESTER,MUSCAT"
MGA,EUROCONTROL NMOC,3,2,"vor_dme,dme","MANAGUA,MAGALA"
MGR,EUROCONTROL NMOC,3,2,"vor_dme,dme","MAGNITOGORSK,ESSAOUIRA / MOGADOR"
MIA,EUROCONTROL NMOC,3,2,"vor_dme,dme","MANDALAY INTL,MILDURA"
MID,EUROCONTROL NMOC,3,2,"vor_dme,dme","MIDHURST,MERIDA"
MIL,EUROCONTROL NMOC,3,2,"vor_dme,dme","MILOS,SORONG/DOMINE EDWARD OSOK"
MIS,EUROCONTROL NMOC,3,2,"vortac,dme","MISRATA,MISAWA"
MK,EUROCONTROL NMOC,3,3,"vor_dme,dme","MACKAY,MALKA,KRISTIANSTAD"
MKE,EUROCONTROL NMOC,3,2,"vor_dme,dme","MUKAWA,MERAUKE/MOPAH"
MKN,EUROCONTROL NMOC,3,2,"vor_dme,dme","MIKONOS,MYITKYINA"
MML,EUROCONTROL NMOC,3,2,"vor_dme,dme","MANGALURU,MARSHALL"
MNA,EUROCONTROL NMOC,3,2,"vor_dme,dme","EL GOLEA,MINNA"
MNO,EUROCONTROL NMOC,3,2,"vor_dme,dme","MANADO/SAM RATULANGI,SABETTA"
MNS,EUROCONTROL NMOC,3,2,"vor_dme,dme","MINSK-2,MANAUS"
MNW,EUROCONTROL NMOC,3,2,"vor_dme,dme","MINERALNYYE VODY,YUZHNO-KURILSK/MENDELEYEVO"
MOF,EUROCONTROL NMOC,3,2,"vor_dme,dme","MAUMERE/FANSISKUS XAVERIUS SEDA,SAMARA/KURUMOCH"
MOL,EUROCONTROL NMOC,3,2,"vor_dme,dme","MONTEBELLO,WARSZAWA/MODLIN"
MON,EUROCONTROL NMOC,3,2,"vor_dme,dme","MONASTIR,PUERTO MONTT"
MOS,BHANSA (ANSP),3,2,"ils_loc,ils_gp,ils_dme",
MOV,EUROCONTROL NMOC,3,2,"vor_dme,dme","MOVEX,MONCLOVA"
MSK,M-NAV,3,2,"ils_loc,ils_gp,ils_dme",
MT,EUROCONTROL NMOC,3,3,"vor,dme","TOAMASINA,MULTAN,HALMSTAD"
MTR,EUROCONTROL NMOC,3,3,"vor_dme,tacan","METRO,MONTERIA,MONTE REAL"
MUN,EUROCONTROL NMOC,3,2,"vor_dme,dme","MATURIN,MUAN"
MVE,EUROCONTROL NMOC,3,2,"vor_dme,dme","MONBETSU,MONTEVIDEO"
MZL,EUROCONTROL NMOC,3,2,"vor_dme,dme","MANZHOULI,MANIZALES"
NEU,EUROCONTROL NMOC,3,3,"vor_dme,tacan","NEUQUEN / PTE. PERON,NEUBURG,IWAKUNI"
NJL,EUROCONTROL NMOC,3,2,"vortac,dme","LUKOU,KING ABDULAZIZ NAVAL BASE"
NMA,EUROCONTROL NMOC,3,2,"vor_dme,dme","BIMA/SULTAN MUHAMMAD SALAHUDIN,NAMANGAN"
NN,EUROCONTROL NMOC,3,3,"vor_dme,dme","ENTEBBE,NADI"
NNK,EUROCONTROL NMOC,3,2,"vor_dme,dme","NUNUKAN,KEMEROVO"
NSH,EUROCONTROL NMOC,3,2,"vor_dme,dme","NINGSHAN,NOSHAHR"
NTL,EUROCONTROL NMOC,3,2,"vor_dme,dme","NATAL,LOSINJ"
PAA,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
PAZ,EUROCONTROL NMOC,3,2,"vor_dme,dme","POZA RICA,LA PAZ"
PCD,HUNGAROCONTROL,3,2,"ils_loc,ils_gp,ils_dme",
PCN,HUNGAROCONTROL,3,2,"ils_loc,ils_gp,ils_dme",
PCS,HUNGAROCONTROL,3,2,"ils_loc,ils_gp,ils_dme",
PKI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,2,"ils_loc,ils_gp,ils_dme",
PLM,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
